"Species","Family","Mean_SD","Mean","SD"
"White rhinoceros","Prevotellaceae","13.29 ± 3.98",13.2874993542081,3.9849104633039
"White rhinoceros","Rikenellaceae","8.99 ± 4.05",8.98648118377821,4.04602844769247
"White rhinoceros","Spirochaetaceae","4.71 ± 3.63",4.70559073335003,3.62723001812913
"White rhinoceros","F082","4.2 ± 2.32",4.19853507492306,2.3230733593412
"White rhinoceros","Oscillospiraceae","4.17 ± 3.2",4.17197276094862,3.20400023842685
"White rhinoceros","Acidaminococcaceae","3.82 ± 2.4",3.81637371995185,2.39986144515041
"White rhinoceros","Bacteroidales_UCG-001","3.7 ± 2.12",3.6979453363558,2.12143794671104
"White rhinoceros","Christensenellaceae","3.43 ± 2.21",3.42883207833446,2.2112491811668
"White rhinoceros","Ruminococcaceae","3.2 ± 1.31",3.19960449939261,1.30823960530721
"White rhinoceros","Clostridia_UCG-014","3.01 ± 6.7",3.01328396250262,6.69929418342951
"White rhinoceros","Hungateiclostridiaceae","2.67 ± 1.62",2.66712069447818,1.62248741102879
"White rhinoceros","Fibrobacteraceae","2.65 ± 3.92",2.64903516306174,3.92247332714158
"White rhinoceros","p-251-o5","2.3 ± 2.2",2.29789745659699,2.20081455919552
"White rhinoceros","[Eubacterium]_coprostanoligenes_group","1.88 ± 1.53",1.87950466782823,1.53417099951877
"White rhinoceros","UCG-010","1.54 ± 1.21",1.53855385420895,1.20813064171743
"White rhinoceros","Anaerovoracaceae","1.47 ± 0.98",1.4702681530445,0.981933622889016
"White rhinoceros","Porphyromonadaceae","1.4 ± 1.75",1.40332141164237,1.74780816053094
"White rhinoceros","Saccharimonadaceae","1.15 ± 1.15",1.15452105710197,1.15259745494111
